timestamp,left_x,left_y,left_z,left_pitch,left_yaw,left_roll,right_x,right_y,right_z,right_pitch,right_yaw,right_roll
1753090830.4036264,-1921.86279296875,4354.93408203125,6709.7021484375,26.40926062143472,-144.0721086930044,174.03374720018786,-2657.092041015625,1758.6002197265625,3539.436279296875,-44.49708491316828,150.77686420057083,nan
1753090830.5756853,-780.5515747070312,2228.0185546875,3442.955810546875,36.16924683700276,-136.26877657303606,165.494300805167,nan,nan,nan,nan,nan,nan
1753090830.6336837,-783.0642700195312,2327.42333984375,3607.304931640625,-10.308740497250652,-174.843219287888,-174.47731431472005,inf,inf,inf,nan,nan,nan
1753090830.6868722,-1309.0172119140625,3925.497314453125,6084.181640625,-50.58463304173171,130.8412197895377,nan,-6973.8193359375,4596.51904296875,9509.2490234375,-34.51228865603046,160.58754481453064,121.88050206951186
1753090830.7368796,-512.1273803710938,1763.4539794921875,2749.62109375,21.598087316436068,-163.8617868946105,140.15626885222423,-8462.8642578125,5562.095703125,11693.240234375,nan,nan,nan
1753090830.7894034,nan,nan,nan,nan,nan,nan,-3796.838134765625,2505.31689453125,5288.36669921875,nan,nan,nan
1753090830.837416,nan,nan,nan,nan,nan,nan,-10337.8154296875,6839.26318359375,14555.0859375,nan,nan,nan
1753090830.8819587,nan,nan,nan,nan,nan,nan,-11144.1240234375,7321.73583984375,15775.904296875,nan,nan,nan
1753090830.9389637,-602.27685546875,2537.400634765625,3874.90185546875,54.87274190697491,-130.4897597593355,nan,-3118.79150390625,2035.0035400390625,4403.0322265625,-45.49745850717704,153.9241064061618,nan
1753090830.988356,-inf,-inf,-inf,nan,nan,nan,-4693.4921875,3049.726806640625,6626.15576171875,nan,nan,nan
1753090831.03736,-395.33624267578125,1757.5948486328125,2676.17578125,nan,nan,nan,-2435.882080078125,1647.6629638671875,3564.96337890625,nan,nan,nan
1753090831.0908742,-341.4443664550781,1498.459716796875,2281.607421875,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090831.1438835,-341.4443664550781,1498.459716796875,2281.607421875,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090831.1974113,-inf,-inf,-inf,nan,nan,nan,-3288.47509765625,2270.726318359375,4812.75048828125,nan,nan,nan
1753090831.2739315,-342.5404052734375,1469.8365478515625,2231.479248046875,-37.508934305533785,122.84807798962792,-142.30619139180044,-2663.451171875,1941.0865478515625,4130.9541015625,31.959018196418935,-161.18740749482217,177.39287359754653
1753090831.3299308,-647.344970703125,2685.958984375,4113.8701171875,68.06870406755915,-131.77678679452313,-44.822540880397995,-3927.551025390625,2862.345458984375,6091.54541015625,-46.01489175274054,151.44033165848006,-157.27836801220667
1753090831.3864772,-386.2607421875,1905.6502685546875,2962.438720703125,-43.00930966299636,111.86669307102412,160.2823612251685,-4092.5458984375,2912.747314453125,6328.53955078125,-46.58227768450705,151.69991206710117,-101.33630900702481
1753090831.4424913,-inf,-inf,-inf,nan,nan,nan,-4523.0048828125,3150.53466796875,6932.22900390625,-39.48152766955027,159.0296970221766,140.1890151733967
1753090831.4988525,-349.15374755859375,1712.750244140625,2638.856201171875,50.41686492953275,150.49136190091545,-72.4333682441107,-4208.2451171875,2831.424072265625,6337.53515625,33.72751495232419,-159.3033566050086,124.19879825418539
1753090831.5458605,-799.1119384765625,3966.1015625,6128.814453125,-51.15653569732859,107.1488872791702,-159.4026454499245,-4334.6708984375,2887.158447265625,6490.2705078125,-43.49296808316486,155.39159766268736,-148.38612878484707
1753090831.590373,-497.7614440917969,2434.48779296875,3762.0126953125,-20.516761929513507,124.94998582388395,-124.18083192780962,-3607.17822265625,2395.69287109375,5385.466796875,-34.98818056186539,162.45499756734534,152.3395483723147
1753090831.6423857,nan,nan,nan,nan,nan,nan,-4243.61767578125,2838.751953125,6353.93701171875,8.563848519189783,-174.85604706560056,122.5122412199782
1753090831.6939225,-253.44146728515625,1155.4342041015625,1785.4918212890625,-52.6422971599926,106.29346938480104,nan,-3608.319091796875,2434.587646484375,5402.708984375,nan,nan,nan
1753090831.7399318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090831.78308,-117.45025634765625,445.1617126464844,679.81298828125,nan,nan,nan,-4677.48876953125,3228.56689453125,7044.20703125,-31.1034267330904,162.59553008013606,160.20092312179145
1753090831.8280787,-397.6672058105469,1511.6783447265625,2301.734619140625,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090831.8743303,-407.8145751953125,1554.799560546875,2360.468505859375,-52.20503136293471,110.37494280018879,nan,-1777.4114990234375,1207.54443359375,2449.350830078125,-34.30168312195918,161.87870672700788,-173.90738165289258
1753090831.9193313,-170.2762908935547,840.2373657226562,1286.9249267578125,59.85215223595015,-85.49045829490021,-11.846920615476122,-3320.257080078125,2320.938720703125,4599.8828125,-32.300936333949046,163.02520492896093,-165.79234968679248
1753090831.972583,nan,nan,nan,nan,nan,nan,-1866.367919921875,1330.2301025390625,2606.535400390625,-24.09369832668314,164.15724895125376,133.99648470864432
1753090832.0155952,-127.49523162841797,1494.4471435546875,2229.714599609375,56.84175441911577,-87.30283758763713,nan,nan,nan,nan,nan,nan,nan
1753090832.100083,-190.324951171875,1410.3212890625,2116.364990234375,23.92824377581419,160.1905458760816,133.37201366580686,-2713.087890625,1975.53173828125,3799.27099609375,-24.21101888899723,163.32879785401863,-71.93266134989311
1753090832.185125,-67.2161865234375,438.797607421875,662.3004760742188,-21.067961666939485,130.50275272778396,nan,-3439.04296875,2510.90869140625,4828.888671875,-35.79738812999926,155.0304962749302,137.02870829810698
1753090832.2635224,-74.44322967529297,433.74981689453125,658.5111083984375,-28.002775546087285,122.37243581325629,nan,-2872.19189453125,2104.8095703125,4032.95166015625,-38.57502594272059,152.62012735481952,-77.43069966721731
1753090832.3466773,nan,nan,nan,nan,nan,nan,-3270.6123046875,2349.796630859375,4519.0439453125,59.78735715974609,-140.07919843072779,-133.76893412298307
1753090832.4530942,-257.95916748046875,1299.634033203125,2038.6690673828125,nan,nan,nan,-2051.975830078125,1466.450927734375,2820.225341796875,14.111150890443737,-179.461583123577,127.1740097251195
1753090832.541379,-86.66758728027344,435.32379150390625,684.93994140625,-32.22075133458488,131.21826275552397,168.25798902760474,-2050.781982421875,1498.8070068359375,2871.811279296875,17.89181202934183,-175.36394203310414,167.9399618068959
1753090832.6092074,nan,nan,nan,nan,nan,nan,-2208.422119140625,1619.975341796875,3092.5625,-19.46880018318027,167.31372336717644,171.01139316558792
1753090832.6958945,nan,nan,nan,nan,nan,nan,-2523.747314453125,1809.40283203125,3505.755126953125,29.81288971392985,-171.0419829360488,nan
1753090832.7759311,-218.09962463378906,1124.1070556640625,1835.4349365234375,-56.02538512459801,112.72040882589444,nan,-7248.33447265625,5196.69970703125,10068.7119140625,58.002641346301914,-50.64183709880716,24.354529798252575
1753090832.848956,nan,nan,nan,nan,nan,nan,-2015.714599609375,1411.180419921875,2734.191162109375,6.664637168252285,176.23084555142833,119.42859226385099
1753090832.93174,-415.9084167480469,1205.1224365234375,1986.4617919921875,-25.40426567745736,154.7759624249439,152.5059358878003,-1915.4490966796875,1335.9803466796875,2598.187255859375,-28.903152996609595,159.05858121211494,-170.69185217528207
1753090833.0287063,nan,nan,nan,nan,nan,nan,-2180.07421875,1513.1102294921875,2964.88232421875,68.06730360405264,-114.72378155036283,-23.9101489991504
1753090833.1123168,nan,nan,nan,nan,nan,nan,-1325.6214599609375,915.2697143554688,1793.436279296875,-11.758965387250234,166.83847296524905,-33.840902506002806
1753090833.181913,nan,nan,nan,nan,nan,nan,-1237.06689453125,886.4207763671875,1704.7322998046875,nan,nan,nan
1753090833.2529042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090833.3180337,-inf,-inf,-inf,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090833.3964765,-1404.1278076171875,4146.07177734375,6706.39453125,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090833.4813516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090833.55436,nan,nan,nan,nan,nan,nan,-2667.37353515625,1951.3721923828125,3725.205078125,nan,nan,nan
1753090833.6324503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090833.7230284,nan,nan,nan,nan,nan,nan,-2048.850830078125,1531.7972412109375,2956.851806640625,-32.381352793584355,155.77562588468084,-80.92647989552725
1753090833.8096168,-59.11199951171875,393.3145751953125,630.3056640625,-35.63849056332046,142.00628556959182,-171.99266319846515,nan,nan,nan,nan,nan,nan
1753090833.888134,nan,nan,nan,nan,nan,nan,-2138.14404296875,1632.0416259765625,3173.961181640625,29.4931111177141,-177.0165470380301,-101.74649024091762
1753090833.9611704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090834.0576982,-inf,-inf,-inf,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090834.1437097,-inf,-inf,-inf,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090834.2264748,nan,nan,nan,nan,nan,nan,-1266.728515625,985.8228149414062,1924.4180908203125,-22.844005588889203,160.4538561610137,144.41704957584184
1753090834.3082108,-2600.560302734375,5161.69140625,8349.189453125,-30.95273442033754,156.30973191325845,-152.9955415456541,-1647.027099609375,1270.6312255859375,2480.390625,-35.51291934637998,154.1164858132536,-144.46162277587982
1753090834.4017339,-640.2353515625,1145.52294921875,1870.402587890625,nan,nan,nan,-1554.333984375,1199.121337890625,2340.796630859375,-25.464447346483535,160.42715146904288,170.92912649784785
1753090834.4866087,-3136.34228515625,6466.294921875,10525.0185546875,nan,nan,nan,-1816.6697998046875,1397.4510498046875,2727.954833984375,-30.704884196569854,156.76716616467704,121.56920752288303
1753090834.5605066,nan,nan,nan,nan,nan,nan,-1184.619140625,906.011962890625,1768.619873046875,-26.66187485893013,159.27822016459285,119.61771895970278
1753090834.6362963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090834.7174363,nan,nan,nan,nan,nan,nan,-1898.03076171875,1347.031494140625,2629.531005859375,-22.66343909413068,159.608802856327,-71.40470126818414
1753090834.8108215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090834.9103494,-2090.7412109375,7395.47314453125,11462.34375,-31.435654823152518,151.46136781406548,-89.17880541558685,-7043.31689453125,4061.23681640625,8469.369140625,nan,nan,nan
1753090834.9988747,nan,nan,nan,nan,nan,nan,-5954.5390625,3257.524658203125,6904.24609375,nan,nan,nan
1753090835.1104074,-1635.902099609375,2832.05078125,4524.5302734375,nan,nan,nan,nan,nan,nan,nan,nan,nan
1753090835.208098,-471.1990051269531,1168.6461181640625,1738.6221923828125,-51.4976910197073,124.20816763880165,-106.20672212542657,-4734.91015625,2530.85498046875,5277.8857421875,nan,nan,nan
1753090835.2859004,-1523.2781982421875,3789.064453125,5541.78173828125,-17.842056967136063,177.5983402630037,131.13841514954265,-1475.960693359375,773.6566162109375,1600.5357666015625,-18.591118362705817,167.7602175652124,154.47623578792061
1753090835.3529124,-inf,-inf,-inf,nan,nan,nan,-2777.381591796875,1509.4306640625,3122.700439453125,nan,nan,nan
1753090835.4295108,nan,nan,nan,nan,nan,nan,-7926.2841796875,4340.8330078125,9088.958984375,nan,nan,nan
1753090835.5069613,-815.68994140625,1731.93896484375,2540.243896484375,nan,nan,nan,-9646.9375,5277.50927734375,11185.5556640625,nan,nan,nan
1753090835.5965967,-64.18838500976562,140.97972106933594,207.36160278320312,-51.880095852290054,120.5241627509478,-143.70140134461244,-5587.3447265625,2986.707763671875,6435.36181640625,46.31366082624048,-29.332594687196092,-23.15680031460108
1753090835.6966984,-2378.16748046875,4061.6630859375,6276.4853515625,nan,nan,nan,-8191.46240234375,4416.51123046875,9476.7744140625,46.002799178048534,-29.011032366003157,-15.226173607901098
1753090835.7770808,nan,nan,nan,nan,nan,nan,-7368.9404296875,3998.374755859375,8544.234375,46.146607923117216,-29.179037327797754,-34.79316452835321
1753090835.8551135,-928.6342163085938,1739.9285888671875,2712.939697265625,-51.929453472375826,128.6111323644229,nan,-5378.37890625,2943.462890625,6264.1767578125,46.44813947964207,-29.501135174297616,-4.858156666333528
1753090835.960754,-1008.6376342773438,1944.9652099609375,3014.52783203125,-11.408439616262909,-175.6197042288043,nan,-5273.623046875,2912.270263671875,6197.79345703125,46.92578701608631,-29.971194310967253,nan
1753090836.0418918,inf,inf,inf,nan,nan,nan,inf,inf,inf,nan,nan,nan
1753090836.1334236,nan,nan,nan,nan,nan,nan,-3301.625244140625,1836.5830078125,3924.6435546875,47.859860557352164,-30.910774067189497,50.62702748947101
1753090836.2022982,nan,nan,nan,nan,nan,nan,-9737.5439453125,5337.5478515625,11548.5771484375,47.36027941138998,-29.918210679444982,nan
1753090836.3060606,-1352.8465576171875,3312.4892578125,4956.47900390625,-50.6098427508892,125.52076481541519,nan,-5090.8037109375,2777.785888671875,6010.15185546875,47.248713037195266,-29.784453714928343,16.00356413091642
1753090836.394787,-2161.23974609375,4601.8857421875,6730.591796875,-43.73305790377066,144.85858439382153,-167.71680330888455,-4086.031982421875,2195.2763671875,4769.6875,47.50948452470633,-29.720760620784127,12.294977040678557
1753090836.4872131,nan,nan,nan,nan,nan,nan,-11530.8037109375,6064.0869140625,13399.8173828125,48.29390827912668,-29.552549080725655,19.735038184003518
1753090836.5863335,nan,nan,nan,nan,nan,nan,-5080.02294921875,2695.740234375,5956.77978515625,47.42463879806861,-28.938237348060696,-4.128675660914796
1753090836.6679766,inf,inf,inf,nan,nan,nan,-6604.0615234375,3519.3974609375,7743.8505859375,46.849078034773676,-28.622923042127333,-33.732792555946425
1753090836.7666953,-1864.59033203125,5209.57666015625,7350.15625,12.151362225724,-171.22171981835044,126.26427262299168,-5978.8798828125,3211.2373046875,6947.98876953125,nan,nan,nan
1753090836.8405583,-4572.70947265625,8601.3076171875,12580.037109375,52.08612200158798,-82.34032826589353,-160.6387176851656,-4168.12646484375,2229.356201171875,4843.73291015625,nan,nan,nan
1753090836.9183662,nan,nan,nan,nan,nan,nan,-6193.65380859375,3326.591796875,7197.57470703125,46.668139263446044,-28.897527094782312,19.04892922920218
1753090837.005389,nan,nan,nan,nan,nan,nan,inf,inf,inf,nan,nan,nan
1753090837.0881054,nan,nan,nan,nan,nan,nan,-10845.7109375,5825.197265625,12603.6787109375,46.132933569872186,-28.598911198561556,109.29742722887002
1753090837.1686227,-3437.8369140625,4529.39892578125,7062.3505859375,nan,nan,nan,-3293.7890625,1787.8341064453125,3836.263427734375,nan,nan,nan
1753090837.2466424,nan,nan,nan,nan,nan,nan,-8607.8154296875,4707.23974609375,9936.3115234375,45.861427996192106,-29.174983545476604,-21.74153606446246
1753090837.334923,-4936.591796875,6833.06201171875,10559.126953125,-46.69393342019166,147.22037268732151,-84.85477643108965,-7124.36083984375,3877.355712890625,8151.3974609375,45.80354622856314,-29.255291948365524,5.552213808567341
1753090837.442535,-4531.80810546875,6272.77490234375,9693.3154296875,52.00373231433705,-62.48530839065926,-154.90851399855785,-7139.2490234375,3916.931396484375,8168.43212890625,45.6871345290724,-29.417005958213448,20.469156238751665
